Modelo;Corrente;Fabricante;Preco;Atualizado
440V EZC100N3100;100A;Schneider;R$ 361,99;
690VCA 3KA SDJS125;125A;Steck;R$ 368,99;
DWP250 20KA;150A;WEG;R$ 434,90;
400V20KA DWP250L1603;160A;WEG;R$ 435,49;
690VCA 3KA SDJS200;200A;Steck;R$ 444,99;
Asgard;250A;Steck;R$ 512,54;
690VCA 10KA SDJS300;300A;Steck;R$ 891,78;
690V 10KA;350A;Steck;R$ 1.106,99;
690Vac/250Vdc 70KA SDJS400;400A;Steck;R$ 1.070,99;
Asgard;450A;Steck;R$ 2.700,71;
Asgard;500A;Steck;R$ 2.707,18;
Asgard;600A;Steck;R$ 2.707,19;05/09/2025
