Categoria;Material;Preco;Atualizado
Eletroduto de ¾;"Eletroduto Galv Pre-Zinc 3/4""";R$ 15,99;
Eletroduto de ¾;"Condulete s/rosca 3/4"" C";R$ 11,79;
Eletroduto de ¾;"Condulete s/rosca 3/4"" LL";R$ 11,79;
Eletroduto de ¾;"Condulete s/rosca 3/4"" LR";R$ 11,79;
Eletroduto de ¾;"Condulete s/rosca 3/4"" X";R$ 11,79;
Eletroduto de ¾;"Condulete s/rosca 3/4"" T";R$ 12,98;
Eletroduto de ¾;"Unidut Conico comum 3/4""";R$ 3,86;
Eletroduto de ¾;"Unidut Reto comum 3/4""";R$ 2,42;
Eletroduto de ¾;"Unilet comum 90º 3/4""";R$ 10,28;
Eletroduto de ¾;"Abraçadeira D e cunha 3/4""";R$ 1,20;
Eletroduto de ¾;"Curva Galv Eletro  90º 3/4""";R$ 4,59;
Eletroduto de ¾;"Flexivel Sealtubo c/capa 3/4""";R$ 8,70;
Eletroduto de 1;"Eletroduto Galv Pre-Zinc 1""";R$ 18,24;
Eletroduto de 1;"Condulete s/rosca 1"" C";R$ 16,67;
Eletroduto de 1;"Condulete s/rosca 1"" LL";R$ 16,67;
Eletroduto de 1;"Condulete s/rosca 1"" LR";R$ 16,67;
Eletroduto de 1;"Condulete s/rosca 1"" X";R$ 16,67;
Eletroduto de 1;"Condulete s/rosca 1"" T";R$ 23,06;
Eletroduto de 1;"Unidut Conico comum 1""";R$ 5,63;
Eletroduto de 1;"Unidut Reto comum 1""";R$ 2,23;
Eletroduto de 1;"Unilet comum 90º 1""";R$ 12,89;
Eletroduto de 1;"Abraçadeira D e cunha 1""";R$ 1,69;
Eletroduto de 1;"Curva Galv Eletro  90º 1""";R$ 4,11;
Eletroduto de 1;"Flexivel Sealtubo c/capa 1""";R$ 10,69;
Eletroduto de 1 ¼;"Eletroduto Galv Pre-Zinc 1 1/4""";R$ 39,55;
Eletroduto de 1 ¼;"Condulete s/rosca 1 1/4"" C";R$ 34,76;
Eletroduto de 1 ¼;"Condulete s/rosca 1 1/4"" LL";R$ 34,76;
Eletroduto de 1 ¼;"Condulete s/rosca 1 1/4"" LR";R$ 34,76;
Eletroduto de 1 ¼;"Condulete s/rosca 1 1/4"" X";R$ 34,76;
Eletroduto de 1 ¼;"Condulete s/rosca 1 1/4"" T";R$ 40,19;
Eletroduto de 1 ¼;"Unidut Conico comum 1 1/4""";R$ 10,71;
Eletroduto de 1 ¼;"Unidut Reto comum 1 1/4""";R$ 5,19;
Eletroduto de 1 ¼;"Unilet comum 90º 1 1/4""";R$ 13,01;
Eletroduto de 1 ¼;"Abraçadeira D e cunha 1 1/4""";R$ 2,00;
Eletroduto de 1 ¼;"Curva Galv Eletro  90º 1 1/4""";R$ 11,00;
Eletroduto de 1 ¼;"Flexivel Sealtubo c/capa 1 1/4""";R$ 17,28;
Eletroduto de 1 ½;"Eletroduto Galv Pre-Zinc 1 1/2""";R$ 41,74;
Eletroduto de 1 ½;"Condulete s/rosca 1 1/2"" C";R$ 60,00;
Eletroduto de 1 ½;"Condulete s/rosca 1 1/2"" LL";R$ 60,00;
Eletroduto de 1 ½;"Condulete s/rosca 1 1/2"" LR";R$ 60,00;
Eletroduto de 1 ½;"Condulete s/rosca 1 1/2"" X";R$ 60,00;
Eletroduto de 1 ½;"Condulete s/rosca 1 1/2"" T";R$ 48,19;
Eletroduto de 1 ½;"Unidut Conico comum 1 1/2""";R$ 11,00;
Eletroduto de 1 ½;"Unidut Reto comum 1 1/2""";R$ 7,68;
Eletroduto de 1 ½;"Unilet comum 90º 1 1/2""";R$ 0,00;
Eletroduto de 1 ½;"Abraçadeira D e cunha 1 1/2""";R$ 2,20;
Eletroduto de 1 ½;"Curva Galv Eletro  90º 1 1/2""";R$ 13,80;
Eletroduto de 1 ½;"Flexivel Sealtubo c/capa 1 1/2""";R$ 19,65;
Eletroduto de 2;"Eletroduto Galv Pre-Zinc 2""";R$ 41,74;
Eletroduto de 2;"Condulete s/rosca 2"" C";R$ 76,60;
Eletroduto de 2;"Condulete s/rosca 2"" LL";R$ 76,60;
Eletroduto de 2;"Condulete s/rosca 2"" LR";R$ 76,60;
Eletroduto de 2;"Condulete s/rosca 2"" X";R$ 76,60;
Eletroduto de 2;"Condulete s/rosca 2"" T";R$ 109,74;
Eletroduto de 2;"Unidut Conico comum 2""";R$ 9,89;
Eletroduto de 2;"Unidut Reto comum 2""";R$ 12,14;
Eletroduto de 2;"Unilet comum 90º 2""";R$ 10,28;
Eletroduto de 2;"Abraçadeira D e cunha 2""";R$ 2,87;
Eletroduto de 2;"Curva Galv Eletro  90º 2""";R$ 46,79;
Eletroduto de 2;"Flexivel Sealtubo c/capa 2""";R$ 26,31;
        main;;;
